a_m,b_m,travel_m,alpha_deg,radius_upper_m
787.8462024097664,138.91854213354426,800.0,10.0,145.31123302689642
772.7406610312546,207.0552360820166,799.9999999999999,14.999999999999998,114.3570714684649
751.7540966287268,273.61611466053495,800.0,19.999999999999996,99.24094055452679
725.0462296293199,338.09460939255956,800.0,25.000000000000004,89.26297115459738
692.820323027551,399.99999999999994,800.0,29.999999999999993,85.33394531605623
655.3216354311934,458.86114908083687,799.9999999999999,35.00000000000001,81.4424862435079
612.8355544951825,514.2300877492314,800.0,40.0,80.95578509078528
565.685424949238,565.685424949238,800.0,45.0,81.03779808528783
514.2300877492315,612.8355544951825,800.0000000000001,50.0,81.48409779606375
458.86114908083687,655.3216354311934,799.9999999999999,55.0,83.57045461550108
400.0000000000001,692.8203230275509,800.0000000000001,59.99999999999999,86.95233484621794
338.09460939255956,725.0462296293199,800.0,65.0,89.54809475090036
896.575228282571,78.44016847289235,900.0,5.0,173.1134877518907
886.3269777109872,156.2833599002373,899.9999999999999,10.0,114.22498522731563
869.3332436601614,232.93714059226866,899.9999999999999,14.999999999999998,90.09123587974234
845.7233587073176,307.8181289931018,900.0000000000001,19.999999999999996,79.17551942201133
815.677008332985,380.3564355666295,900.0000000000001,25.0,73.59429251432125
779.4228634059948,449.99999999999994,900.0,29.999999999999996,70.92497039540616
737.2368398600926,516.2187927159414,899.9999999999999,35.0,69.02105713944523
689.4399988070802,578.5088487178854,900.0,40.0,70.01795859527604
636.3961030678928,636.3961030678928,900.0000000000001,45.0,70.48376975321125
578.5088487178854,689.4399988070802,900.0,50.0,71.85778925609466
516.2187927159414,737.2368398600926,899.9999999999999,55.00000000000001,75.4431829113032
450.0000000000001,779.4228634059947,900.0,59.99999999999999,78.00451021061215
996.1946980917455,87.15574274765817,1000.0,5.0,192.3778676180574
984.807753012208,173.64817766693034,999.9999999999999,10.000000000000002,109.13063132163117
965.9258262890684,258.81904510252076,1000.0000000000001,14.999999999999998,76.76924680006229
939.6926207859084,342.0201433256687,1000.0,20.0,64.62517761915514
906.30778703665,422.61826174069944,1000.0000000000001,25.0,60.993962574435024
866.0254037844387,499.99999999999994,1000.0,29.999999999999996,59.935778174561655
819.1520442889918,573.576436351046,999.9999999999999,35.0,59.48125156133989
766.044443118978,642.7876096865392,1000.0,39.99999999999999,60.99267011953762
707.1067811865476,707.1067811865476,1000.0000000000001,45.0,62.333484952891276
642.7876096865393,766.044443118978,1000.0,50.0,65.60052098535033
573.576436351046,819.1520442889918,999.9999999999999,55.0,68.14130767617898
