time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
82,27.999999999999986,2.5499999999999985,83,83,1.8536283619141614e-12,-5.5209170568559742e-21,-4.0568550862057904e-12,3.5855984847898763e-20
83,27.999999999999989,2.5499999999999985,84,84,1.8749446439869644e-12,-5.5990767577895851e-21,-3.0293373525688629e-12,3.6186387220027212e-20
84,27.999999999999989,2.5499999999999985,85,85,1.8962609260597674e-12,-5.6772364587231959e-21,-3.4882897866841101e-12,3.5872860237873036e-20
85,27.999999999999993,2.5499999999999985,86,86,1.9175772081325704e-12,-5.7553961596568068e-21,-3.6730976469427712e-12,3.3303360069680621e-20
86,27.999999999999989,2.5499999999999985,87,87,1.9388934902053734e-12,-5.8335558605904177e-21,-4.4135399287171523e-12,3.190625541549233e-20
87,27.999999999999989,2.5499999999999989,88,88,1.9602097722781764e-12,-5.9117155615240286e-21,-5.1991201027297976e-12,3.0451419164023525e-20
88,27.999999999999986,2.5499999999999989,89,89,1.9815260543509794e-12,-5.9898752624576394e-21,-5.7133990346804064e-12,3.0613067636408947e-20
89,27.999999999999986,2.5499999999999989,90,90,2.0028423364237824e-12,-6.0680349633912503e-21,-5.751182946729898e-12,3.0201841028087772e-20
90,27.999999999999989,2.5499999999999989,91,91,2.0241586184965854e-12,-6.1461946643248612e-21,-6.015959513709909e-12,3.0243585413813673e-20
91,27.999999999999986,2.5499999999999989,92,92,2.0454749005693884e-12,-6.2243543652584721e-21,-6.7516629091600563e-12,3.4433123019539208e-20
92,27.999999999999986,2.5499999999999985,93,93,2.0667911826421914e-12,-6.3025140661920829e-21,-6.9835042161866853e-12,3.205902210368078e-20
93,27.999999999999986,2.5499999999999985,94,94,2.0881074647149944e-12,-6.3806737671256938e-21,-7.553465062446964e-12,2.9014346480948725e-20
94,27.999999999999982,2.5499999999999985,95,95,2.1094237467877974e-12,-6.4588334680593047e-21,-7.7509494436229426e-12,3.0552671503869338e-20
95,27.999999999999986,2.5499999999999985,96,96,2.1307400288606004e-12,-6.5369931689929155e-21,-7.6590063425466931e-12,3.0967450825869291e-20
96,27.999999999999986,2.5499999999999985,97,97,2.1520563109334034e-12,-6.6151528699265264e-21,-8.0653571384630142e-12,3.3269609289731996e-20
97,27.999999999999986,2.5499999999999985,98,98,2.1733725930062064e-12,-6.6933125708601373e-21,-8.6495346436959742e-12,3.4350522426507072e-20
98,27.999999999999982,2.5499999999999985,99,99,2.1946888750790094e-12,-6.7714722717937482e-21,-8.4036962092404371e-12,3.4503289114695491e-20
99,27.999999999999986,2.5499999999999989,100,100,2.2160051571518125e-12,-6.8496319727273598e-21,-7.9230459574194005e-12,3.2888580747680698e-20
100,27.999999999999986,2.5499999999999989,101,101,2.2373214392246155e-12,-6.9277916736609707e-21,-7.7880974629507937e-12,2.9395375023000089e-20
101,27.999999999999982,2.5499999999999985,102,102,2.2586377212974185e-12,-7.0059513745945815e-21,-8.5620821744888458e-12,2.7762903087591243e-20
102,27.999999999999975,2.5499999999999989,103,103,2.2799540033702215e-12,-7.0841110755281924e-21,-1.0256936161962716e-11,3.2978286768070379e-20
103,27.999999999999982,2.5499999999999989,104,104,2.3012702854430245e-12,-7.1622707764618033e-21,-9.2039321053132973e-12,3.6346259335573224e-20
104,27.999999999999982,2.5499999999999989,105,105,2.3225865675158275e-12,-7.2404304773954142e-21,-8.5977161749199982e-12,3.4123148751063823e-20
105,27.999999999999986,2.5499999999999989,106,106,2.3439028495886305e-12,-7.318590178329025e-21,-8.2483182652603085e-12,3.5506042550536898e-20
