time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
1585,112160,407680,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.3020222668148608e-07,8.9889968330402452e-16,32.438188763409059,35.584729494113532,1.5583188226113216,2.5499985091391699
1586,112192,407808,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.310412896117329e-07,8.9918049499196433e-16,32.443439146944193,35.58988313280949,1.558083792596757,2.549998496303707
1587,112224,407936,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.3188253032770926e-07,8.9966032333675467e-16,32.448690214205449,35.595027611414892,1.5578488767269258,2.5499984833737677
1588,112256,408064,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.3271947162175602e-07,8.9967186622861254e-16,32.453941954840921,35.600163173891126,1.5576140748772693,2.5499984703486498
1589,112288,408192,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.3356135419929628e-07,9.0040457640456227e-16,32.459194358737506,35.605290049675176,1.557379386924167,2.5499984572278938
1590,112320,408320,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.3440489210548846e-07,9.0039327598002145e-16,32.464447416025067,35.610408454988814,1.5571448127446386,2.5499984440109298
1591,112352,408448,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.352443710501804e-07,9.0089939419263026e-16,32.469701117079566,35.615518593990714,1.5569103522164676,2.5499984306970962
1592,112384,408576,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.3608091419049496e-07,9.0092870492404577e-16,32.474955452526061,35.620620659796572,1.5566760052181254,2.5499984172858428
1593,112416,408704,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.3692431505353254e-07,9.0118526357302795e-16,32.480210413241899,35.625714835384215,1.556441771628682,2.5499984037766437
1594,112448,408832,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.3776414936673688e-07,9.0169348054964596e-16,32.485465990358065,35.630801294401117,1.556207651327844,2.5499983901688914
1595,112480,408960,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.3860438956360123e-07,9.0214908635776377e-16,32.490722175261723,35.635880201886131,1.5559736441958667,2.5499983764619745
1596,112512,409088,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.3944320571902525e-07,9.0208471237076032e-16,32.495978959597707,35.640951714917641,1.5557397501134802,2.5499983626552676
1597,112544,409216,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4028879148709751e-07,9.0245047178529657e-16,32.501236335268928,35.646015983196804,1.5555059689619497,2.5499983487482423
1598,112576,409344,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4112948280921013e-07,9.0257907479590111e-16,32.506494294437665,35.651073149574231,1.5552723006230831,2.5499983347402875
1599,112608,409472,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4197182300680334e-07,9.0319663202140398e-16,32.511752829525513,35.656123350526848,1.5550387449790608,2.5499983206307997
1600,112640,409600,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4281062092681419e-07,9.0355946890343851e-16,32.517011933212871,35.661166716590678,1.554805301912503,2.549998306419186
1601,112672,409728,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4364928975564285e-07,9.0376748414798028e-16,32.52227159843877,35.666203372754573,1.554571971306502,2.5499982921048234
1602,112704,409856,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4448871871254311e-07,9.0446566956292084e-16,32.527531818399218,35.671233438819705,1.5543387530445281,2.549998277687147
1603,112736,409984,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4533019597541265e-07,9.0464678489394239e-16,32.532792586545504,35.676257029727296,1.5541056470104162,2.5499982631654583
1604,112768,410112,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4616789473299575e-07,9.0513072825548503e-16,32.538053896582198,35.681274255860252,1.553872653088413,2.5499982485392141
1605,112800,410240,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4700986927863581e-07,9.0552257891109516e-16,32.543315742464245,35.6862852233184,1.5536397711630716,2.5499982338078233
1606,112832,410368,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4785088091396882e-07,9.058970211371238e-16,32.548578118393998,35.691290034172951,1.5534070011193615,2.5499982189705603
1607,112864,410496,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4868787573464316e-07,9.0620990054946076e-16,32.553841018817025,35.696288786699903,1.5531743428425431,2.5499982040269638
1608,112896,410624,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.4952700183658009e-07,9.0662168150154489e-16,32.559104438418139,35.701281575596234,1.5529417962182608,2.5499981889763386
1609,112928,410752,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.5036466070940103e-07,9.0704481013086233e-16,32.564368372116995,35.706268492179355,1.5527093611323677,2.5499981738180133
1610,112960,410880,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.5120618930620767e-07,9.0720221836213053e-16,32.569632815062128,35.711249624571799,1.5524770374711394,2.549998158551396
1611,112992,411008,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.5204877686149078e-07,9.0767256897485982e-16,32.574897762625547,35.716225057872727,1.5522448251210874,2.5499981431758405
1612,113024,411136,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.5289503144179085e-07,9.0818638668800785e-16,32.580163210396897,35.721194874316822,1.5520127239690509,2.549998127690793
1613,113056,411264,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.5373949502418539e-07,9.0858723045123765e-16,32.585429154176055,35.726159153422621,1.5517807339021534,2.5499981120955213
1614,113088,411392,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.545725581287959e-07,9.0927686788512567e-16,32.590695589966586,35.731117972130022,1.5515488548077849,2.5499980963894351
1615,113120,411520,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.5541280901155686e-07,9.1001500819160407e-16,32.595962513968253,35.736071404928957,1.5513170865736263,2.5499980805718527
1616,113152,411648,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.5624644765578334e-07,9.1022113632697588e-16,32.601229922569225,35.741019523979567,1.5510854290876184,2.5499980646422058
1617,113184,411776,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.5708494875766855e-07,9.1088173589565296e-16,32.606497812337452,35.745962399223821,1.5508538822379587,2.5499980485997482
1618,113216,411904,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.5792901381163061e-07,9.1120567543656278e-16,32.61176618001253,35.75090009849125,1.5506224459131326,2.5499980324439186
1619,113248,412032,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.5876783429692444e-07,9.1201596481421232e-16,32.617035022497028,35.75583268759695,1.5503911200018343,2.5499980161740017
1620,113280,412160,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.5960840779661857e-07,9.1262230309246472e-16,32.622304336847428,35.760760230433547,1.5501599043930752,2.5499979997893565
1621,113312,412288,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.6044845341302006e-07,9.1340916154528793e-16,32.627574120264569,35.765756439227097,1.5499287957645989,2.54999798328938
1622,113344,412416,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.6129580544877998e-07,9.1381430819866666e-16,32.632844370084875,35.770806531669272,1.5496977946312287,2.549997966673347
1623,113376,412544,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.6214131903847785e-07,9.1400959499473762e-16,32.638115083770209,35.775889691706581,1.5494669017881979,2.5499979499406278
1624,113408,412672,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.6298330220222413e-07,9.1448278769665406e-16,32.643386258898616,35.780998425741096,1.5492361174531115,2.5499979330905473
1625,113440,412800,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.6382913217772844e-07,9.1472741891819111e-16,32.648657893154287,35.786128420928037,1.5490054417057646,2.5499979161224227
1626,113472,412928,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.6467275772215063e-07,9.1499599308935365e-16,32.65392998431858,35.791276783469684,1.5487748745646066,2.5499978990355898
1627,113504,413056,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.6552359345735058e-07,9.1504751320662591e-16,32.659202530259236,35.796441402317207,1.5485444160142818,2.5499978818293827
1628,113536,413184,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.6636513268454268e-07,9.149363810777391e-16,32.664475528921344,35.801620652897903,1.5483140660184698,2.5499978645031378
1629,113568,413312,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.6720963923256827e-07,9.1580193894160668e-16,32.669748978317564,35.806813237488463,1.5480838245268123,2.549997847056118
1630,113600,413440,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.6805671067333651e-07,9.1569969766013632e-16,32.675022876518319,35.812018090454153,1.5478536914791119,2.5499978294876624
1631,113632,413568,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.688973018533323e-07,9.1608509413561943e-16,32.680297221642526,35.817234317929369,1.5476236668078069,2.5499978117971458
1632,113664,413696,4,1.3981928322440158e-15,0.0039385713584338426,2.2364710338323665e-16,-4.6974120577230013e-07,9.1623841413010766e-16,32.68557201184835,35.82246115734052,1.5473937504398341,2.5499977939838083
