time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
122,28.531089236747835,1.126008578621668,1953,5859,38.222032190075559,-1.0640212581267698e-07,-9.803286654674892e-12,7.1301728031152156e-20
123,28.530558412961277,1.1258286948857616,1969,5907,38.515552477323865,-1.0719418457897395e-07,-1.0166398972666357e-11,7.0051444535278255e-20
124,28.530028119733203,1.1256490679431541,1985,5955,38.808765687502436,-1.0798502645047762e-07,-8.8997871572349396e-12,6.6451968099753755e-20
125,28.529498356533363,1.1254696974272593,2001,6003,39.101672157753086,-1.0877465338383144e-07,-5.6056791153391572e-12,6.1439667177988684e-20
126,28.528969122831914,1.1252905829720155,2017,6051,39.394272224818089,-1.0956306733234867e-07,-4.7598626429223856e-12,6.743134994501654e-20
127,28.528440418099716,1.1251117242118835,2033,6099,39.686566225040551,-1.1035027024601845e-07,-6.3700746066874814e-12,6.1273403874865525e-20
128,28.527912241807968,1.1249331207818423,2049,6147,39.978554494364964,-1.111362640715117e-07,-8.8836195344388358e-12,6.183630028170786e-20
129,28.527384593428568,1.1247547723173972,2065,6195,40.270237368337753,-1.1192105075218714e-07,-3.0870826728257583e-12,7.3716268239194444e-20
130,28.526857472433804,1.1245766784545734,2081,6243,40.56161518210773,-1.1270463222809716e-07,-5.3320577120263835e-12,7.3614525023850421e-20
131,28.526330878296605,1.1243988388299104,2097,6291,40.852688270426711,-1.134870104359938e-07,-5.9314810008093133e-12,7.1347222964842573e-20
132,28.525804810490371,1.1242212530804723,2113,6339,41.143456967649897,-1.1426818730933473e-07,-5.9057862766831448e-12,6.7440448931754623e-20
133,28.525279268488962,1.1240439208438391,2129,6387,41.43392160773643,-1.1504816477828908e-07,-4.5536595327799745e-12,7.3917686718351106e-20
134,28.524754251766968,1.1238668417581084,2145,6435,41.72408252424993,-1.1582694476974339e-07,-4.9865910012325543e-12,6.8403700755072624e-20
135,28.524229759799265,1.1236900154618916,2161,6483,42.013940050359025,-1.1660452920730756e-07,-4.9880065355889514e-12,6.837805815608348e-20
136,28.523705792061403,1.123513441594322,2177,6531,42.303494518837802,-1.1738092001132062e-07,-5.3793532128754151e-12,7.1513899858272008e-20
137,28.52318234802939,1.1233371197950421,2193,6579,42.592746262066356,-1.181561190988567e-07,-6.8804718866832815e-12,6.5716604535194113e-20
138,28.522659427179804,1.1231610497042148,2209,6627,42.881695612031237,-1.1893012838373084e-07,-1.1003455091529446e-12,7.0169317772567061e-20
139,28.52213702898975,1.1229852309625108,2225,6675,43.170342900326084,-1.1970294977650485e-07,1.3069233195661667e-12,7.2690150689322413e-20
140,28.521615152936771,1.1228096632111151,2241,6723,43.458688458152018,-1.2047458518449317e-07,6.6329233772144391e-13,6.7135632876028832e-20
141,28.521093798499003,1.1226343460917299,2257,6771,43.746732616318177,-1.2124503651176865e-07,4.6882289717053993e-13,7.7846794627977988e-20
142,28.520572965155104,1.1224592792465617,2273,6819,44.034475705242215,-1.2201430565916839e-07,6.7706257267374781e-14,7.5032726184072587e-20
143,28.520052652384269,1.1222844623183321,2289,6867,44.321918054950842,-1.2278239452429973e-07,2.1821780493702647e-13,7.5769330519551059e-20
144,28.51953285966616,1.1221098949502739,2305,6915,44.609059995080287,-1.2354930500154569e-07,4.1154406271726174e-12,7.851557015322711e-20
145,28.519013586480995,1.1219355767861237,2321,6963,44.89590185487679,-1.2431503898207106e-07,1.9693933983599976e-12,8.5358008180265755e-20
146,28.51849483230944,1.1217615074701308,2337,7011,45.182443963197187,-1.2507959835382811e-07,5.3981229208854842e-12,8.5401021572118513e-20
147,28.517976596632803,1.121587686647054,2353,7059,45.468686648509312,-1.2584298500156222e-07,9.4746467615980379e-12,9.3648012279272199e-20
148,28.517458878932832,1.1214141139621554,2369,7107,45.754630238892531,-1.266052008068177e-07,1.0258374011362648e-11,9.5971562619933653e-20
149,28.516941678691829,1.1212407890612042,2385,7155,46.040275062038305,-1.2736624764794373e-07,1.008224406739977e-11,9.2730668979950891e-20
150,28.516424995392573,1.1210677115904768,2401,7203,46.32562144525064,-1.2812612740009975e-07,6.0682743552309404e-12,9.4567009939818612e-20
151,28.515908828518363,1.1208948811967538,2417,7251,46.610669715446534,-1.2888484193526152e-07,9.1659145551314936e-12,9.4813096172053138e-20
152,28.515393177553083,1.1207222975273208,2433,7299,46.895420199156568,-1.2964239312222663e-07,8.016278613132144e-12,8.9890130756443794e-20
153,28.514878041981,1.1205499602299636,2449,7347,47.179873222525352,-1.3039878282662015e-07,9.045836996124379e-12,9.312109822907592e-20
154,28.514363421287054,1.120377868952978,2465,7395,47.46402911131203,-1.3115401291090053e-07,9.7181811209434699e-12,9.4436315403035234e-20
155,28.513849314956598,1.1202060233451514,2481,7443,47.747888190890777,-1.3190808523436516e-07,7.0688767339621705e-12,9.4960334321087577e-20
156,28.513335722475556,1.120034423055783,2497,7491,48.031450786251312,-1.32661001653156e-07,9.247411864032884e-12,8.9723453863014359e-20
157,28.512822643330246,1.119863067734667,2513,7539,48.314717221999373,-1.3341276402026531e-07,6.4909154440240258e-12,7.891427120847767e-20
158,28.512310077007662,1.1196919570320978,2529,7587,48.597687822357209,-1.3416337418554142e-07,1.8384564703932682e-12,8.0216253492636135e-20
159,28.511798022995269,1.1195210905988704,2545,7635,48.880362911164063,-1.3491283399569399e-07,5.4592788623075705e-13,8.7166224999306674e-20
160,28.5112864807809,1.1193504680862765,2561,7683,49.162742811876733,-1.356611452943001e-07,-1.4116104118944151e-12,7.2405600558604171e-20
161,28.510775449853099,1.1191800891461081,2577,7731,49.444827847569975,-1.3640830992180957e-07,-1.0540769646016912e-12,8.2055075994341516e-20
162,28.51026492970086,1.119009953430653,2593,7779,49.726618340937051,-1.3715432971555058e-07,-1.7999178536509675e-12,8.458624866875378e-20
163,28.509754919813645,1.1188400605926938,2609,7827,50.008114614290228,-1.3789920650973544e-07,1.7476749214484499e-12,8.5300105537387043e-20
164,28.509245419681339,1.1186704102855138,2625,7875,50.289316989561179,-1.3864294213546607e-07,7.3869729777520377e-13,8.9284220957748701e-20
