x,y,J,J_lower,P_H,P_N,P_A,P_loc,E_radius_loss,safe_margin,angle_calls
875,670,2158.39866333477,2158.39866333477,0,0.00074033712787053,0.999259654559531,0,25.3338824882434,-98.1430980480236,558
875,675,2161.52865227817,2161.52865227817,0,0.000815087469551793,0.999184911922829,0,25.3568715175238,-101.201224305001,558
875,680,2165.07245995656,2165.07245995655,0,0.000895521539019093,0.999104474642814,0,25.3812542401142,-104.273520931818,594
875,685,2169.06221924553,2169.06221924553,0,0.00098195552141447,0.999018048274544,0,25.4070789149677,-107.359869984224,594
875,690,2173.5340572352,2173.5340572352,0,0.00107471908146722,0.998925281600639,0,25.4343981626193,-110.460154292714,558
875,695,2178.52867976677,2178.52867976677,0,0.00117415593320001,0.998825842459463,0,25.4632714517992,-113.574257466524,558
875,700,2184.09169009423,2184.09169009423,0,0.00128062444101432,0.998719369548097,0,25.4937641475232,-116.702063897279,594
875,705,2190.27414533932,2190.27414533932,0,0.00139449825447618,0.998605504532442,0,25.5259488245955,-119.843458762324,594
875,710,2197.1329327451,2197.13293274509,0,0.0015161669793373,0.998483833671665,0,25.5599040580943,-122.998328027734,594
875,715,2204.73162685375,2204.73162685375,0,0.00164603688756544,0.998353951619401,0,25.5957176848533,-126.166558451017,594
875,720,2213.14309116752,2213.14309116751,0,0.00178453166942344,0.998215463646287,0,25.633503192403,-129.348037583512,594
875,725,2222.44335709798,2222.44335709798,0,0.00193209323093222,0.998067907400708,0,25.6733447306995,-132.542653772498,594
875,730,2232.71939865213,2232.71939865212,0,0.00208918254038443,0.997910812491277,0,25.71535479162,-135.750296163014,594
875,735,2244.06765929651,2244.06765929651,0,0.00225628052794609,0.99774370985561,0,25.7596562649393,-138.970854699406,594
875,740,2256.59490900783,2256.59490900782,0,0.0024338890427995,0.997566102973806,0,25.8063823625509,-142.204220126601,738
875,745,2270.41924638253,2270.41924638252,0,0.00262253187274881,0.997377462466162,0,25.8556772316338,-145.450283991121,702
875,750,2285.6712537151,2285.6712537151,0,0.00282275583173685,0.997177237681659,0,25.9076971285156,-148.708938641839,702
880,450,2303.52142214676,2303.52142214676,0,0,1.00000000523759,0,25.6162666866951,16.0259779284863,630
880,455,2292.2308537381,2292.2308537381,0,0,1.00000000147218,0,25.5728082610698,13.7288665220332,630
880,460,2281.48641720952,2281.48641720951,0,0,0.999999998742159,0,25.5317819758225,11.4118039586781,630
880,465,2271.2671424242,2271.2671424242,0,0,0.999999994444571,0,25.4931092119604,9.07493019272283,630
880,470,2261.55315676618,2261.55315676617,0,0,0.99999999272343,0,25.4567149445865,6.71838505241681,594
880,475,2252.32561019311,2252.32561019311,0,0,0.999999998307506,0,25.4225274320258,4.34230821371102,558
880,480,2243.56658770655,2243.56658770654,0,0,0.99999999999309,0,25.3904776768827,1.94683917462464,558
880,485,2235.25909462065,2235.25909462065,0,1.35327225964169e-09,0.999999999620464,0,25.3604998980588,-0.46788276977918,558
880,490,2227.38689431976,2227.38689431976,0,7.21253974413625e-08,0.999999932107939,0,25.3325299911051,-2.90171855180631,558
880,495,2219.93452279593,2219.93452279593,0,2.8825143916619e-07,0.999999719428565,0,25.3065065208541,-5.35452935493777,558
880,500,2212.88965918775,2212.88965918775,0,7.04880191484332e-07,0.999999292895567,0,25.2823924586243,-7.82617663702808,630
