time_s,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20
32,2.5500000000000003,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5500000000000012,2.5500000000000016,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5500000000000003,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999963,2.5499999999999994,2.5499999999999994,2.5499999999999927,2.5499999958869464,2.5499779630736694,2.5431272886330469,2.3733594996998311
33,2.5499999999999994,2.5499999999999994,2.5499999999999967,2.5499999999999998,2.5500000000000029,2.5499999999999998,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.5500000000000016,2.5499999999999985,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999972,2.5500000000000003,2.549999999999943,2.5499999933917619,2.5499722014692914,2.5425382072091098,2.3707310922803924
34,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000029,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999972,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999999998413,2.5499999896626524,2.5499653726056777,2.5419310027052862,2.3681454100018997
35,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000025,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999999996423,2.549999984219832,2.5499573618215203,2.5413065160928388,2.3656005767370472
36,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000016,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999999992617,2.5499999764460681,2.5499480527521743,2.5406655612183067,2.3630948495394506
37,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000029,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999999985694,2.549999965561776,2.5499373281038547,2.5400089236538155,2.3606266057757099
38,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000025,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999999973348,2.5499999505985955,2.5499250703808518,2.539337360053024,2.3581943318130545
39,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000016,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999999952001,2.549999930371992,2.5499111625593338,2.5386515979086939,2.3557966130387546
40,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000029,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5500000000000003,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999999916234,2.5499999034532048,2.5498954887038341,2.5379523356266049,2.3534321250244878
41,2.5499999999999994,2.5499999999999994,2.5499999999999972,2.5499999999999998,2.5500000000000025,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999989,2.550000000000002,2.5499999999999976,2.5499999999999994,2.5499999999999998,2.5499999999999994,2.5499999999999972,2.5500000000000007,2.5499999999857708,2.549999868141029,2.5498779345243157,2.5372402428461549,2.3510996256792067
