check,time_s,radius_cm,coarse,fine
moisture_space_final_T,826,0.5,14.628749482241409,14.628750564196872
moisture_space_final_T,828,1.8,9.84184966748237,9.84185068962774
moisture_space_final_T,830,0.9,13.51334948462624,13.513350565873218
moisture_space_final_T,832,1.5,11.14444948700104,11.144450541623398
moisture_space_final_T,840,0.2,14.862549664069276,14.86255074513922
moisture_space_final_T,843,0.0,14.902049348373101,14.902050429325662
moisture_space_final_T,844,0.6,14.189049456428009,14.189050538083299
moisture_space_final_T,857,2.0,8.944149401333542,8.944150373669482
moisture_space_final_T,862,0.4,14.345648939597627,14.345650020828403
moisture_space_final_T,865,1.3,11.74584915268998,11.74585021078661
moisture_space_final_T,867,0.5,14.116949368361624,14.116950449034904
moisture_space_final_T,868,0.7,13.671349062693826,13.671350141596715
moisture_space_final_T,869,0.1,14.540949800961988,14.54095088229321
moisture_space_final_T,872,0.1,14.502648975055905,14.50265005635253
moisture_space_final_T,879,0.8,13.292549269253376,13.292550344938565
moisture_space_final_T,879,1.6,10.48214971576091,10.482150740385539
moisture_space_final_T,882,0.1,14.37654952642466,14.376550607503367
moisture_space_final_T,882,1.1,12.339649605971669,12.339650670708203
moisture_space_final_T,884,0.8,13.240949789964189,13.240950864846626
moisture_space_final_T,890,0.3,14.1323493010851,14.132350381346532
moisture_space_final_T,893,0.0,14.258749894373306,14.258750975101194
moisture_space_final_T,898,1.5,10.777949975532067,10.777951003757222
moisture_space_final_T,899,1.1,12.198849683111284,12.198850743315319
moisture_space_final_T,900,0.7,13.326549786704554,13.32655086132033
moisture_space_final_T,903,1.4,11.12204897027354,11.122050006854304
moisture_space_final_T,918,0.1,13.9422493072181,13.942250386281946
moisture_space_final_T,920,1.9,9.245249057763491,9.245250016072585
moisture_space_final_T,931,0.0,13.80964927351569,13.809650351555156
moisture_space_final_T,935,1.4,10.94414981293019,10.94415083744349
moisture_space_final_T,944,0.4,13.404049296628152,13.404050370467717
moisture_space_final_T,946,1.6,10.215549476512654,10.215550471953055
moisture_space_final_T,949,0.3,13.463149430666022,13.46315050513112
moisture_space_final_T,953,0.9,12.336849355740302,12.336850412484418
moisture_space_final_T,957,0.1,13.505349110136226,13.50535018505833
moisture_space_final_T,957,1.0,12.04004965239976,12.04005070250482
