time_s,mean_T,mean_C,steps,iterations,cumulative_heat_per_2piL,cumulative_water_per_rhod_2piL,heat_balance_per_2piL,water_balance_per_rhod_2piL
154,28.142522686006238,1.1272756081820516,4929,9858,-8.5945502403799363,1.6223990490863908e-07,-1.4641015093005971e-09,2.9127605615547552e-18
155,28.14243408184652,1.1272703574775864,4961,9922,-8.6477127362213615,1.6329004580171873e-07,-1.4723863074952992e-09,2.9242303707130377e-18
156,28.142345532770669,1.1272651069897475,4993,9986,-8.7008421817019244,1.643401433696506e-07,-1.4829984228484361e-09,2.9412210029993493e-18
157,28.14225703874456,1.1272598567185244,5025,10050,-8.7539385973690091,1.6539019761423023e-07,-1.4919325592652188e-09,2.9633503849812214e-18
158,28.142168599733889,1.1272546066639093,5057,10114,-8.8070020037572068,1.6644020853725345e-07,-1.5026688322469783e-09,2.9840221454768044e-18
159,28.142080215704489,1.127249356825893,5089,10178,-8.8600324213883255,1.674901761405156e-07,-1.5139435842123627e-09,3.0077359402232336e-18
160,28.141991886622161,1.1272441072044661,5121,10242,-8.9130298707714282,1.6854010042581214e-07,-1.5236847885832794e-09,3.0242265289045598e-18
161,28.141903612452765,1.1272388577996204,5153,10306,-8.9659943724028128,1.6958998139493823e-07,-1.5326837134524429e-09,3.0442074255675991e-18
162,28.141815393162148,1.1272336086113479,5185,10370,-9.0189259467660357,1.7063981904968891e-07,-1.5420946733110674e-09,3.0634257069423043e-18
163,28.141727228716196,1.1272283596396364,5217,10434,-9.0718246143319128,1.7168961339185906e-07,-1.550801363194021e-09,3.099240656449547e-18
164,28.141639119080789,1.1272231108844797,5249,10498,-9.124690395558531,1.7273936442324346e-07,-1.5598942701769425e-09,3.1204133329671677e-18
165,28.141551064221897,1.1272178623458682,5281,10562,-9.177523310891246,1.7378907214563667e-07,-1.5699128342802626e-09,3.1459012168700215e-18
166,28.141463064105412,1.1272126140237919,5313,10626,-9.2303233807627052,1.7483873656083318e-07,-1.5811873052204439e-09,3.1639723861432231e-18
167,28.141375118697344,1.1272073659182431,5345,10690,-9.2830906255928607,1.7588835767062721e-07,-1.5897494718211669e-09,3.197855862457806e-18
168,28.141287227963691,1.1272021180292122,5377,10754,-9.3358250657889386,1.7693793547681289e-07,-1.5978125706209156e-09,3.2067728048376423e-18
169,28.141199391870408,1.1271968703566904,5409,10818,-9.3885267217454924,1.7798746998118436e-07,-1.6077066787231753e-09,3.2274411532131985e-18
170,28.14111161038355,1.1271916229006682,5441,10882,-9.4411956138443838,1.7903696118553535e-07,-1.6167399216268641e-09,3.2517197184475454e-18
171,28.141023883469217,1.1271863756611393,5473,10946,-9.4938317624548105,1.8008640909165962e-07,-1.6249608334253929e-09,3.2712146335760127e-18
172,28.14093621109339,1.1271811286380902,5505,11010,-9.5464351879332874,1.8113581370135085e-07,-1.6354024150525004e-09,3.2858330992736297e-18
173,28.140848593222199,1.1271758818315147,5537,11074,-9.5990059106236796,1.8218517501640238e-07,-1.6449579675822945e-09,3.277651688479415e-18
174,28.140761029821814,1.1271706352414044,5569,11138,-9.6515439508572101,1.8323449303860771e-07,-1.6549999539219873e-09,3.2999406646207216e-18
175,28.140673520858289,1.1271653888677478,5601,11202,-9.7040493289524399,1.8428376776975979e-07,-1.6638304093860579e-09,3.3167337687616949e-18
176,28.140586066297839,1.1271601427105389,5633,11266,-9.7565220652153073,1.8533299921165168e-07,-1.6735175025275884e-09,3.3213962821442752e-18
177,28.14049866610663,1.1271548967697667,5665,11330,-9.8089621799391118,1.8638218736607644e-07,-1.6833152727616096e-09,3.3235669914797219e-18
178,28.140411320250831,1.1271496510454229,5697,11394,-9.8613696934045461,1.8743133223482677e-07,-1.6933610234512453e-09,3.3418984512272392e-18
179,28.140324028696696,1.1271444055374982,5729,11458,-9.9137446258796764,1.8848043381969529e-07,-1.7028804850591217e-09,3.3634192350734255e-18
180,28.140236791410441,1.127139160245985,5761,11522,-9.9660869976199695,1.8952949212247447e-07,-1.7136005262333165e-09,3.3652883466027171e-18
181,28.140149608358328,1.1271339151708728,5793,11586,-10.018396828868308,1.9057850714495663e-07,-1.7226725939831211e-09,3.3813340155120663e-18
182,28.140062479506689,1.1271286703121532,5825,11650,-10.070674139854972,1.9162747888893409e-07,-1.7301018265594714e-09,3.3891702076475108e-18
183,28.139975404821755,1.1271234256698162,5857,11714,-10.122918950797674,1.92676407356199e-07,-1.7395168196501776e-09,3.4088660436542976e-18
184,28.139888384269916,1.127118181243854,5889,11778,-10.175131281901544,1.9372529254854324e-07,-1.7483549963684397e-09,3.4170347171595487e-18
185,28.139801417817452,1.1271129370342587,5921,11842,-10.227311153359153,1.9477413446775868e-07,-1.7584031635278774e-09,3.4416538093876289e-18
186,28.139714505430781,1.1271076930410191,5953,11906,-10.279458585350508,1.9582293311563714e-07,-1.7667707323185122e-09,3.4731639365037352e-18
187,28.13962764707631,1.1271024492641286,5985,11970,-10.331573598043084,1.9687168849397013e-07,-1.7748943694981256e-09,3.5095043137210111e-18
188,28.139540842720368,1.1270972057035749,6017,12034,-10.383656211591786,1.9792040060454908e-07,-1.7849252033005913e-09,3.5336031739672808e-18
189,28.139454092329434,1.1270919623593523,6049,12098,-10.43570644613901,1.989690694491654e-07,-1.7935964458440368e-09,3.5489918417504127e-18
190,28.139367395869982,1.1270867192314504,6081,12162,-10.487724321814618,2.0001769502961028e-07,-1.8019547026390526e-09,3.5537624314499018e-18
191,28.139280753308398,1.1270814763198604,6113,12226,-10.539709858735952,2.0106627734767479e-07,-1.8126187139796968e-09,3.5730442570977573e-18
