budget_m,range_m,true_angle_deg,second_error_deg,radius_m,target_distance_to_center_m,reception_radius_m
500.0,100,-0.5,0.5,9.049006321392842,4.526742626659738,1000.0
500.0,100,-0.5,1,9.027677473350094,8.640631608882785,1000.0
500.0,100,0,-1,9.119196769817263,8.479563551188535,1000.0
500.0,100,0,-0.5,9.095411953915033,4.246299356315164,1000.0
500.0,100,0,0,9.072439991123732,0.15836002910250277,1000.0
500.0,100,0,0.5,9.050271251815353,4.164480671094916,1000.0
500.0,100,0,1,9.028896497573163,8.334972175322223,1000.0
500.0,100,0.5,-1,9.120654563476265,8.759214173114888,1000.0
500.0,100,0.5,-0.5,9.096820504852916,4.550661551538719,1000.0
500.0,100,0.5,0,9.07379989166636,0.7697973681234133,1000.0
500.0,100,0.5,0.5,9.051583070417202,3.9789551689764586,1000.0
500.0,100,0.5,1,9.030160779422866,8.118652052849733,1000.0
500.0,100,1,-1,9.122164697111739,9.122164697111572,1000.0
500.0,100,1,-0.5,9.098279695422208,5.004408405935476,1000.0
500.0,100,1,0,9.075208753017108,1.6757192497620523,1000.0
500.0,100,1,0.5,9.052942191684153,3.9949827243165505,1000.0
500.0,100,1,1,9.031470725649681,7.998960806607892,1000.0
500.0,250,-1,-1,8.984556758828168,8.984556758828193,1000.0
500.0,250,-1,-0.5,9.056326465017586,5.839582719315032,1000.0
500.0,250,-1,0,9.130406011137042,4.225154978356478,1000.0
500.0,250,-1,0.5,9.206794604559395,5.661140523543315,1000.0
500.0,250,-1,1,9.28549357323624,8.762529734220337,1000.0
500.0,250,-0.5,-1,8.987080734383891,8.081272708351378,1000.0
500.0,250,-0.5,-0.5,9.058932991069135,4.421564606592619,1000.0
500.0,250,-0.5,0,9.133095022920712,2.041697419310387,1000.0
500.0,250,-0.5,0.5,9.209566112950451,4.385785872233425,1000.0
500.0,250,-0.5,1,9.288347664986237,8.052460031685154,1000.0
500.0,250,0,-1,8.989286846640509,7.7079667318966,1000.0
500.0,250,0,-0.5,9.061211175736016,3.812048879096576,1000.0
500.0,250,0,0,9.13544522565949,0.1668571601738072,1000.0
500.0,250,0,0.5,9.211988345468209,3.9968694505617917,1000.0
500.0,250,0,1,9.290842005246994,7.903529553285286,1000.0
500.0,250,0.5,-1,8.991169234509375,7.940149538072058,1000.0
500.0,250,0.5,-0.5,9.063154999978279,4.364566618482258,1000.0
500.0,250,0.5,0,9.13745044157731,2.3306713177808223,1000.0
500.0,250,0.5,0.5,9.214054964670988,4.71890750853679,1000.0
500.0,250,0.5,1,9.292970095830306,8.345707019973522,1000.0
500.0,250,1,-1,8.992722088608051,8.729831273538789,1000.0
500.0,250,1,-0.5,9.064758493751366,5.753657855547473,1000.0
500.0,250,1,0,9.139104539304507,4.514433050439992,1000.0
500.0,250,1,0.5,9.215759677050066,6.173437833595075,1000.0
500.0,250,1,1,9.294725480121635,9.294725480121514,1000.0
500.0,500,-1,-1,17.449748351250417,17.44974835125047,1000.0
500.0,500,-1,-0.5,17.720552584818993,13.12506293791415,1000.0
500.0,500,-1,0,17.99808047049666,9.6996144752459,1000.0
500.0,500,-1,0.5,18.282553575959323,8.465233096334837,1000.0
500.0,500,-1,1,18.57420325340467,10.33495852026008,1000.0
500.0,500,-0.5,-1,17.58432349025631,13.357173899884545,1000.0
500.0,500,-0.5,-0.5,17.858462446877798,8.511118959291895,1000.0
500.0,500,-0.5,0,18.13943464623584,4.620608358137841,1000.0
500.0,500,-0.5,0.5,18.427466488102187,5.187668573751569,1000.0
500.0,500,-0.5,1,18.722794401131274,9.538489380254902,1000.0
500.0,500,0,-1,17.720552584818993,10.118476998303848,1000.0
500.0,500,0,-0.5,17.99808047049666,4.845211881046046,1000.0
500.0,500,0,0,18.282553575959323,0.5697964691108968,1000.0
500.0,500,0,0.5,18.57420325340467,5.8940896412101775,1000.0
500.0,500,0,1,18.873271135794216,11.341479652373119,1000.0
500.0,500,0.5,-1,17.858462446877798,8.78679456806782,1000.0
500.0,500,0.5,-0.5,18.13943464623584,5.118669207119523,1000.0
500.0,500,0.5,0,18.427466488102187,5.643317908547641,1000.0
500.0,500,0.5,0.5,18.722794401131274,9.798193752929146,1000.0
500.0,500,0.5,1,19.02566535439864,14.853596498220442,1000.0
500.0,500,1,-1,17.99808047049666,10.183367290646446,1000.0
500.0,500,1,-0.5,18.282553575959323,9.024694725828759,1000.0
500.0,500,1,0,18.57420325340467,10.80589444047974,1000.0
500.0,500,1,0.5,18.873271135794216,14.545591825678814,1000.0
500.0,500,1,1,19.180009664221565,19.180009664221224,1000.0
