time_s,steps,total_picard,max_picard,max_scaled_nonlinear_residual,max_residual_ratio,max_linear_backward_error,cumulative_heat_balance,cumulative_water_balance,min_T,max_T,min_C,max_C
106,424,1696,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.041863273930875e-09,4.4998625322884706e-20,28.000091910478496,28.197652356553142,2.2388965065044619,2.5500000000000016
107,428,1712,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.0513371539446967e-09,7.1423737171503728e-20,28.000099033411111,28.200608770951654,2.2375354191585464,2.5500000000000016
108,432,1728,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.0614605283057119e-09,6.2731723294796513e-20,28.000106584290027,28.203579583966217,2.23618160673883,2.5500000000000016
109,436,1744,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.0711593533821104e-09,6.1773848145460107e-20,28.000114580892198,28.206564682105419,2.2348349676151815,2.5500000000000016
110,440,1760,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.0802735766471047e-09,4.3964649557193421e-20,28.000123041359036,28.209563954421153,2.2334954024899578,2.5500000000000016
111,444,1776,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.089701770983463e-09,5.2787357970684014e-20,28.00013198419316,28.212577292403761,2.232162814323797,2.5500000000000016
112,448,1792,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.0990969084292632e-09,6.3340528225635541e-20,28.000141428255006,28.215604589883743,2.2308371082644336,2.5500000000000016
113,452,1808,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.1081995159858624e-09,7.1225213824491001e-20,28.000151392759378,28.218645742939376,2.2295181915783537,2.5500000000000016
114,456,1824,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.1177069663683911e-09,7.5227113628022549e-20,28.000161897271994,28.221700649809829,2.2282059735851911,2.5500000000000016
115,460,1840,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.1270730437265217e-09,7.5299905521927215e-20,28.000172961705957,28.22476921081341,2.2269003655946893,2.5500000000000016
116,464,1856,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.1367633894745696e-09,7.9321657660160036e-20,28.000184606318228,28.227851328270344,2.2256012808461532,2.5500000000000016
117,468,1872,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.1465004339785909e-09,8.5952337450385106e-20,28.000196851705933,28.230946906429978,2.2243086344502347,2.5500000000000016
118,472,1888,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.1570491486581277e-09,7.6674679699990347e-20,28.000209718802843,28.23405585140188,2.2230223433329566,2.5500000000000016
119,476,1904,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.1666645959853769e-09,6.9324352776844143e-20,28.000223228875626,28.237178071090678,2.2217423261818738,2.5500000000000016
120,480,1920,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.1763984485982024e-09,6.2291663208918302e-20,28.000237403520121,28.240313475134371,2.2204685033942702,2.5500000000000016
121,484,1936,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.1857873965506402e-09,4.3249965507947605e-20,28.000252264657693,28.243395946945039,2.2192007912031735,2.5500000000000016
122,488,1952,4,1.0907677107752041e-15,0.00030725851007752214,1.7454181181247216e-16,1.1957287498467681e-09,2.2150242442944975e-20,28.000267834531307,28.246444933993377,2.2179391143398721,2.5500000000000016
123,492,1968,4,1.0907677107752041e-15,0.00030725851007752214,1.7519814920292619e-16,1.2060846742980788e-09,2.458049908262577e-20,28.000284135701779,28.249475668834599,2.2166833996937352,2.5500000000000016
124,496,1984,4,1.0907677107752041e-15,0.00030725851007752214,1.7522741641188337e-16,1.2155410544214748e-09,3.2207104330364686e-20,28.00030119104385,28.252494126659247,2.2154335746325762,2.5500000000000016
125,500,2000,4,1.0907677107752041e-15,0.00030725851007752214,1.7522741641188337e-16,1.2255880176828202e-09,5.505383284907931e-20,28.0003190237423,28.255503779609203,2.2141895677408416,2.5500000000000016
126,504,2016,4,1.0907677107752041e-15,0.00030725851007752214,1.7522741641188337e-16,1.2360187017770516e-09,5.6797529580341092e-20,28.000337657287901,28.25850696095835,2.2129513089250361,2.5500000000000016
