x,y,worst_lower,worst_upper,normal_lower,no_signal_upper,worst_theta,safe_margin,calls,interval_splits,angle_bound_complete
305,0,595.112160242037,1500,595.112160242037,0,6.278731129898078,304.9331643974075,175,0,0
305,1,595.1152922185372,1500,595.1152922185372,0,6.277894566965743,304.9073365604584,91,0,0
305,2,595.1192589842976,1500,595.1192589842976,0,6.277058035871934,304.8800710810037,91,0,0
305,5,595.1361675031759,1500,595.1361675031759,0,6.274548645309242,304.7896505236891,91,0,0
305,10,569.3542189986865,1500,569.3542189986865,0,6.235460488475505,304.6102142802592,91,0,0
305,15,541.9855413517208,1500,541.9855413517208,0,6.231279975358992,304.3948834664025,63,0,0
305,20,517.1433200390574,1500,517.1433200390574,0,6.227100666580299,304.1436914045454,63,0,0
305,25,494.4945209317571,1500,494.4945209317571,0,6.222922707547724,303.8566769145411,63,0,0
305,30,473.7621788399614,1500,473.7621788399614,0,6.218746243387191,303.5338842837806,63,0,0
305,40,437.1540488909754,1500,437.1540488909754,0,6.210398378593969,302.7811688791072,63,0,0
305,50,405.8549281776609,1500,405.8549281776609,0,6.202058226423098,301.8860074469717,63,0,0
330,0,582.6118135576778,1500,582.6118135576778,0,0.004922222408375917,329.9249883805682,175,0,0
330,1,582.6152774107926,1500,582.6152774107926,0,6.277408661468571,329.8981972792071,91,0,0
330,2,582.619593831772,1500,582.619593831772,0,6.276554272088211,329.8699149996838,91,0,0
330,5,582.6376579531147,1500,582.6376579531147,0,6.273991319932043,329.7761230296592,91,0,0
330,10,559.700210253799,1500,559.700210253799,0,6.234813942573653,329.5899990859866,91,0,0
330,15,532.4537004686541,1500,532.4537004686541,0,6.23054427818053,329.3666475711931,63,0,0
330,20,507.7531643329117,1500,507.7531643329117,0,6.226275896870948,329.1061056662737,63,0,0
330,25,485.2590856827123,1500,485.2590856827123,0,6.222008953522825,328.8084166807171,63,0,0
330,30,464.6897460407324,1500,464.6897460407324,0,6.217743602700319,328.4736300166472,63,0,0
330,40,428.419392358994,1500,428.419392358994,0,6.209218295119999,327.6929914750521,63,0,0
330,50,397.4597719503297,1500,397.4597719503297,0,6.200701203105263,326.7647054405792,63,0,0
355,0,570.1115029169405,1500,570.1115029169405,0,6.277774607373426,354.9161787496432,175,0,0
355,1,570.115319436041,1500,570.115319436041,0,6.276901544860125,354.8883497782444,175,0,0
355,2,570.1200070740367,1500,570.1200070740367,0,6.276028518538688,354.8589719567424,91,0,0
355,5,570.1392961152196,1500,570.1392961152196,0,6.273409670008473,354.7615475629688,91,0,0
355,10,550.0103983052937,1500,550.0103983052937,0,6.234139185174916,354.56821850198,91,0,0
355,15,522.8910322210783,1500,522.8910322210783,0,6.229776488725958,354.3362263282222,63,0,0
355,20,498.3371744737801,1500,498.3371744737801,0,6.225415161120511,354.0656127001338,63,0,0
355,25,476.0026717195208,1500,476.0026717195208,0,6.221055367545261,353.7564261357593,63,0,0
355,30,455.6009627491226,1500,455.6009627491226,0,6.216697272837457,353.4087219694352,63,0,0
355,40,419.6767965644381,1500,419.6767965644381,0,6.207986837403532,352.5980159484025,63,0,0
355,50,389.0638986552022,1500,389.0638986552022,0,6.199285165123245,351.6340716210555,63,0,0
380,0,557.6112430851648,1500,557.6112430851648,0,0.005920977021411051,379.9066588963057,175,0,0
